144	-0.08009	0.07171	-0.4362	
145	0.3269	-0.4193	-0.1116	
146	0.448	-0.1813	-0.1266	
147	0.2465	-0.6623	0.09107	
148	0.08637	1.077	0.05971	
149	0.5654	-0.1381	-0.2372	
150	0.2977	0.4793	-0.07196	
151	0.2873	0.1509	-0.6447	
152	0.3633	-0.05441	-0.4804	
153	-0.07927	-0.5665	-0.4153	
154	0.01112	-0.03014	-0.368	
155	-0.06266	0.02087	-0.3949	
156	-0.3462	0.187	-0.4301	
157	-0.1176	0.5062	-0.2528	
158	-0.1504	0.6501	-0.1063	
159	-0.139	0.7023	-0.2782	
160	-0.3413	0.456	-0.1394	
161	-0.1699	0.3386	0.06007	
162	-0.08191	0.0561	0.2059	
163	-0.054	-0.198	0.1439	
164	0.04807	0.2959	0.1639	
165	0.3092	0.5069	0.2922	
166	0.2896	0.2571	-0.03013	
167	0.389	-0.294	-0.2932	
168	0.7477	-0.3725	0.2069	
169	0.289	-0.5491	0.06235	
170	0.473	-0.6134	-0.2271	
171	0.2958	-0.1043	-0.5162	
172	0.4849	-0.2583	-0.6838	
173	0.7357	0.505	-0.4512	
174	0.3037	-0.4478	-0.1459	
175	-0.0393	-0.2015	-0.8132	
176	-0.2809	0.07911	-0.2994	
177	0.05694	0.2554	0.172	
178	0.3012	0.5064	-0.09802	
179	0.1879	-0.1965	0.03788	
180	0.3251	0.1749	0.363	
181	-0.1339	0.09479	-0.1248	
182	-0.2335	-1.003	-0.4217	
183	-0.1815	-0.3004	-0.438	
184	0.8792	-0.2471	-0.0922	
185	-0.002649	0.1393	-0.0558	
186	0.2343	-0.7117	-0.4428	
187	0.28	-0.2928	-0.2137	
188	-0.03827	-0.6597	-0.2098	
189	0.335	-0.4857	-0.1367	
190	0.1348	-0.2135	0.1388	
191	0.1836	0.1541	-0.03976	
192	0.4393	-0.1553	-0.1143	
193	0.5116	-0.2386	-0.08555	
194	0.4005	0.1482	-0.3882	
195	-0.4633	-0.1695	-0.3207	
196	0.4564	0.1724	0.1259	
197	-0.09761	-0.5881	-0.4116	
198	0.4117	0.07655	-0.2844	
199	0.7068	-0.01919	-0.2691	
200	0.4142	-0.4804	0.1249	
201	0.4282	0.2767	-0.7308	
202	0.415	0.524	-0.3606	
203	0.04158	-0.2239	-0.5409	
204	-0.3159	-0.8257	-0.3349	
205	0.4662	-0.4138	0.1535	
206	0.7549	-0.06283	0.1462	
207	0.4652	0.4715	-0.1016	
208	0.3133	0.005969	0.2908	
209	0.5121	-0.2275	0.3714	
210	0.1411	-0.3354	0.2719	
211	0.148	-0.07523	-0.01239	
212	0.1206	0.05523	0.1237	
213	0.1078	-0.3927	0.05307	
214	0.2008	-0.03917	0.08423	
215	0.08594	-0.3801	0.01956	
216	0.0256	-0.2368	0.1013	
217	-0.02422	-0.1272	0.6101	
218	-0.22	-0.007487	0.4447	
219	-0.1274	0.2114	0.465	
220	-0.004479	0.1506	0.356	
221	0.04209	0.558	-0.04575	
222	0.2785	0.3592	-0.335	
223	0.0972	0.3226	-0.2445	
224	-0.09675	0.4324	0.03194	
225	-0.1026	0.5096	0.07918	
226	-0.4579	0.6125	-0.107	
227	-0.4758	0.3915	-0.2467	
228	-0.4799	0.5216	-0.4834	
229	-0.4264	0.2945	-0.2902	
230	-0.1806	-0.3887	-0.3791	
231	-0.4024	-0.09885	-0.3373	
232	0.1423	0.04968	-0.4279	
233	0.251	-0.1069	-0.2785	
234	0.1745	-0.3205	-0.1355	
235	-0.01043	-0.7731	-0.7175	
236	0.03481	-0.2803	-0.4753	
237	-0.1158	-0.4566	-1.062	
238	-0.04529	-0.1267	-0.5698	
239	-0.1667	0.5844	-0.8194	
240	0.5063	0.1385	-0.2027	
241	0.4541	-0.1528	-0.01283	
242	0.3135	0.04827	0.02366	
243	0.4571	-0.1181	-0.22	
244	-0.2239	-0.03408	-0.1679	
245	0.3808	0.3284	0.1816	
246	0.4688	0.1358	-0.4816	
247	-0.09395	-0.1086	-0.5237	
248	0.005415	0.4177	-0.2682	
249	0.07328	-0.5306	-0.2664	
250	0.06643	-0.4231	-0.5799	
251	-0.2373	-0.4231	-0.7161	
252	0.1909	0.4716	-0.1514	
253	0.217	-0.376	-0.1176	
254	0.4043	0.6587	0.2275	
255	0.3381	0.4643	-0.04989	
256	1.029	0.4927	0.7239	
257	1.019	0.6471	0.6208	
258	0.7549	0.7245	0.07634	
259	0.2357	0.1823	-0.4877	
260	0.3611	-0.4514	0.2906	
261	0.022	-0.311	-0.3729	
262	-0.2346	-0.5087	-0.6365	
263	-0.354	0.2947	-0.1921	
264	-0.0122	0.743	0.2332	
265	0.1574	0.7564	-0.006513	
266	0.4432	0.2798	0.004776	
267	0.224	-0.1069	-0.06842	
268	0.4831	0.006252	-0.7526	
269	0.1138	-0.06341	-0.7603	
270	0.09164	0.1819	-0.4672	
271	0.07124	-0.03785	0.009041	
272	0.6006	0.6125	-0.3805	
273	0.6532	0.05552	0.007872	
274	0.6293	-0.03853	-0.4728	
275	0.5667	-0.4598	-0.1658	
276	0.7815	-0.2645	-0.1093	
277	0.1786	-0.1526	-0.4274	
278	0.132	0.1438	-0.4185	
279	0.2365	0.2465	-0.4023	
280	0.4927	-0.03366	-0.2652	
281	0.4661	0.151	-0.2791	
282	0.5466	0.1908	-0.1752	
283	0.6645	0.1085	-0.2354	
284	0.6349	0.007922	-0.3277	
285	0.5552	-0.6659	-0.6279	
286	1.135	-0.2595	-0.5539	
287	0.9006	-0.7584	-0.2185	
288	0.612	-0.03793	0.151	
289	0.1928	-0.1566	-0.2716	
290	0.06279	-0.3138	-0.3568	
291	0.2147	0.2019	0.04184	
292	0.07195	-0.02519	-0.5805	
293	0.5649	0.8007	-0.4376	
294	0.06575	-0.1466	-0.2529	
295	-0.4131	0.07133	-0.6045	
296	-0.04329	-0.1884	0.133	
297	0.1465	-0.7254	-0.3488	
298	0.1803	-0.8724	-0.09017	
299	0.1994	-0.8367	-0.2407	
300	-0.008265	-0.631	-0.2097	
301	0.3384	0.002542	-0.2419	
302	0.1081	0.08623	-0.367	
